"model_name","model_type","complexity_score","dic","waic","marginal_likelihood","mean_cpo","failure_rate","runtime_seconds","fit_success","waic_rank","improvement_over_best_separable","within_3_waic","complexity"
"adjacency_ar1_period","interaction",8,10925.8444456807,10935.2779975576,-5676.16701404725,0.514160710704761,0.00071301247771836,12.6068830490112,TRUE,1,79.0823103745133,TRUE,8
"exponential_ar1_period","interaction",8,10927.6959260364,10937.1373627057,-5591.42465388873,0.513910745341275,0.00071301247771836,13.0469000339508,TRUE,2,77.2229452263527,TRUE,8
"adjacency_ar1_seasonal_interaction","interaction",6,10965.6368678476,10975.3959118189,-5618.63365354668,0.51212919333654,0.00053475935828877,16.4103329181671,TRUE,3,38.9643961131387,FALSE,6
"exponential_ar1_interaction","interaction",5,10964.9055889766,10975.4574306726,-5588.5958552254,0.511869462277644,0.00053475935828877,13.2167708873749,TRUE,4,38.9028772594811,FALSE,5
"adjacency_ar1_interaction","interaction",5,10964.8646132604,10975.5233196622,-5617.76536255542,0.512123947033503,0.00053475935828877,12.7760238647461,TRUE,5,38.8369882698607,FALSE,5
"gaussian_ar1_interaction","interaction",5,10967.9538016843,10975.6143779311,-5599.41636904989,0.511843689959247,0.00053475935828877,13.225026845932,TRUE,6,38.7459300009286,FALSE,5
"adjacency_rw1_interaction","interaction",5,10967.1854784641,10975.6250805253,-5615.77420053915,0.512858756772025,0.00053475935828877,12.2586061954498,TRUE,7,38.7352274067889,FALSE,5
"adjacency_rw2_interaction","interaction",6,10986.3062959274,10994.6428033111,-5622.54431628752,0.512330463332966,0.00053475935828877,12.5082771778107,TRUE,8,19.717504620945,FALSE,6
"adjacency_timevarying","interaction",6,10991.7973029303,11001.8902528822,-8984.09108996532,0.512740098016616,0.00071301247771836,761.950251817703,TRUE,9,12.4700550498492,FALSE,6
"exponential_timevarying","interaction",6,10992.9436032384,11002.2183627492,-6147.43497408139,0.512475508387521,0.00071301247771836,664.733282089233,TRUE,10,12.141945182897,FALSE,6
"adjacency_ar1","separable",3,11003.6408609319,11014.3603079321,-5620.72487141105,0.513373850625365,0.00089126559714795,10.8603761196136,TRUE,11,0,FALSE,3
"exponential_ar1","separable",3,11003.6970826525,11014.4011998902,-5591.55080301938,0.513131829674355,0.00089126559714795,10.9803569316864,TRUE,12,-0.0408919581404916,FALSE,3
"gaussian_ar1","separable",3,11003.817123136,11014.5034274376,-5602.37064801506,0.513098351621561,0.00089126559714795,10.7039790153503,TRUE,13,-0.143119505548384,FALSE,3
"adjacency_rw1","separable",3,11006.7560683856,11016.2426491144,-5619.61329943161,0.513639781126399,0.00106951871657754,9.6458010673523,TRUE,14,-1.88234118228684,FALSE,3
"exponential_rw1","separable",3,11006.7710119946,11016.2441228021,-5590.44107454265,0.513395427831826,0.00106951871657754,9.69503688812256,TRUE,15,-1.88381487002516,FALSE,3
"gaussian_rw1","separable",3,11006.8482699096,11016.3149491538,-5601.26322782776,0.513367115985714,0.00106951871657754,9.70058989524841,TRUE,16,-1.95464122168414,FALSE,3
"adjacency_seasonal","interaction",5,11005.573282706,11017.8232955503,-5727.15346384203,0.513135847149026,0.00089126559714795,11.5855479240417,TRUE,17,-3.46298761822254,FALSE,5
